Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCases,TotalCasesPM,DeathsPM,TotalTests,TestsPM,Population
Armenia,"146,317","1,077","2,445",29,"123,474","20,398",0,"49,336",824,"542,394","182,888","2,965,712"
Kuwait,"145,789",294,910,0,"141,569","3,310",66,"33,917",212,"1,172,159","272,696","4,298,412"
Lebanon,"143,705","1,518","1,182",12,"97,647","44,876",390,"21,097",174,"1,757,731","258,044","6,811,748"
Qatar,"140,680",164,240,0,"138,194","2,246",25,"50,103",85,"1,159,766","413,051","2,807,805"
Kazakhstan,"139,995",836,"2,088",0,"124,056","13,851",221,"7,417",111,"4,871,752","258,093","18,875,968"
Guatemala,"128,541",755,"4,376",31,"117,013","7,152",5,"7,117",242,"575,546","31,867","18,061,152"
Slovakia,"127,087","2,166","1,122",18,"93,533","32,432",282,"23,273",205,"1,188,116","217,571","5,460,822"
Oman,"125,669",0,"1,463",0,"117,327","6,879",65,"24,339",283,"571,472","110,680","5,163,300"
Moldova,"124,264","1,579","2,521",21,"106,471","15,272",289,"30,837",626,"499,663","123,993","4,029,769"
Greece,"122,648","1,395","3,472",102,"9,989","109,187",583,"11,793",334,"2,557,145","245,874","10,400,232"
Egypt,"120,147",0,"6,854",0,"104,281","9,012",46,"1,164",66,"1,000,000","9,692","103,181,996"
Ethiopia,"115,782",422,"1,791",12,"91,209","22,782",326,996,15,"1,695,106","14,587","116,207,038"
Honduras,"113,207",415,"2,968",7,"50,948","59,291",112,"11,350",298,"282,300","28,304","9,973,976"
Tunisia,"107,814",0,"3,758",0,"82,193","21,863",273,"9,080",317,"499,552","42,073","11,873,347"
Palestine,"106,622","1,743",931,21,"81,166","24,525",81,"20,690",181,"760,658","147,607","5,153,273"
Venezuela,"106,280",0,938,0,"101,384","3,958",35,"3,742",33,"2,337,527","82,308","28,399,883"
Myanmar,"105,863","1,376","2,220",19,"84,338","19,305",0,"1,940",41,"1,395,088","25,564","54,571,754"
Denmark,"103,564","3,075",927,9,"76,927","25,710",48,"17,852",160,"8,365,753","1,442,052","5,801,283"
Bosnia and Herzegovina,"99,543",940,"3,250",51,"63,733","32,560",0,"30,426",993,"460,177","140,655","3,271,662"
Slovenia,"93,737","1,816","1,998",49,"70,733","21,006",196,"45,086",961,"583,661","280,732","2,079,066"
Algeria,"91,121",542,"2,575",11,"59,590","28,956",46,"2,062",58,0,0,"44,199,034"
Kenya,"90,978",673,"1,582",14,"71,579","17,817",45,"1,676",29,"960,364","17,690","54,289,859"
Paraguay,"90,958",0,"1,914",0,"64,527","24,517",151,"12,684",267,"489,070","68,199","7,171,248"
Libya,"89,880",697,"1,278",5,"59,839","28,763",0,"13,002",185,"478,198","69,178","6,912,525"
Bahrain,"88,632",0,347,0,"86,684","1,601",6,"51,317",201,"2,160,368","1,250,830","1,727,147"
Lithuania,"86,949","3,067",764,29,"36,168","50,017",178,"32,142",282,"1,387,528","512,922","2,705,144"
China,"86,688",15,"4,634",0,"81,762",292,5,60,3,"160,000,000","111,163","1,439,323,776"
Malaysia,"80,309","1,810",402,6,"67,173","12,734",123,"2,467",12,"2,896,938","89,002","32,549,129"
Kyrgyzstan,"76,718",327,"1,307",1,"69,341","6,070",90,"11,674",199,"541,098","82,339","6,571,568"
Ireland,"75,507",304,"2,120",3,"23,364","50,023",35,"15,216",427,"2,063,450","415,835","4,962,180"
Uzbekistan,"74,664",166,611,0,"71,921","2,132",179,"2,217",18,"1,377,915","40,908","33,683,082"
North Macedonia,"72,044","1,161","2,077",26,"48,170","21,797",138,"34,581",997,"360,216","172,903","2,083,336"
Nigeria,"71,344",0,"1,190",0,"65,474","4,680",10,342,6,"829,743","3,982","208,370,519"
Singapore,"58,305",8,29,0,"58,192",84,0,"9,931",5,"4,834,370","823,467","5,870,751"
Ghana,"52,738",0,326,0,"51,518",894,15,"1,682",10,"616,231","19,652","31,357,228"
Afghanistan,"48,826",73,"1,949",10,"38,266","8,611",93,"1,242",50,"166,698","4,240","39,312,001"
Albania,"46,863",802,977,12,"24,136","21,750",39,"16,292",340,"212,042","73,718","2,876,393"
S. Korea,"40,786",688,572,8,"31,157","9,057",169,795,11,"3,311,213","64,560","51,288,872"
Luxembourg,"40,755",718,392,8,"31,678","8,685",47,"64,643",622,"1,495,056","2,371,370","630,461"
El Salvador,"40,741",0,"1,186",6,"37,172","2,383",71,"6,267",182,"572,266","88,031","6,500,757"
Montenegro,"40,546",381,569,3,"29,462","10,515",68,"64,553",906,"151,375","241,004","628,101"
